question,answer
"The act of using a stroller as a mobile store on the road, hindering traffic sanctions on administrative violations?","At Point m, Clause 1, Article 8 of Decree 100/2019/ND-CP of December 30, 2019 of the Government stipulating the sanctioning of administrative violations in the field of road and railway traffic stipulated as follows: A fine of between VND 80,000 and VND 100,000 for car drivers who use trolleys as mobile stalls on roads, interfere with traffic."
The act does not obey the order and instructions of the traffic driver or traffic control person; Do not obey the command of traffic lights sanctioned administrative violations?,"At Points b, dd Clause 2, Article 8 of the Government's Decree 100/2019/ND-CP of December 30, 2019, stipulating the sanctioning of administrative violations in the field of road and railway traffic stipulated as follows: A fine of from VND 100,000 to VND 200,000 for car operators committing one of the following violations: failing to comply with orders, instructions of traffic operators or traffic control people; Do not obey the command of traffic lights."
"Machinery operators (including electric bicycles) do not wear ""helmets for motorcyclists, motorbikes"" or wear ""helmets for motorcyclists, motorbikes"" without proper straps when participating in traffic on the road being sanctioned for administrative violations?","At Point d, Clause 3, Article 8 of Decree 100/2019/ND-CP dated December 30, 2019 of the Government stipulating the sanctioning of administrative violations in the field of road and railway traffic stipulated as follows: A fine of from VND 200,000 to VND 300,000 for motorbike drivers (including electric bicycles) without ""helmets for motorcyclists, motorcycles"" or ""insurance hats for motorbikes and motorbikes set."
Vehicle control on the road where blood or breath has alcohol content exceeds 50 milligrams to 80 milligrams/100 milliliters or exceeding 0.25 milligrams to 0.4 milligrams/1 liter of breathing gas sanctioned administrative violations?,"At Point e, Clause 3, Article 8 of Decree 100/2019/ND-CP dated December 30, 2019 of the Government stipulating the sanctioning of administrative violations in the field of road and railway traffic stipulated as follows: A fine of between VND 200,000 to VND 300,000 for car drivers who perform vehicle control on roads where blood or breathing with alcohol content is exceeding 50 milligrams/100 milligrids or exceeding 0.25 milligrids to 0.25 milligraphic to 0.44 Miligam/1 liter of breathing gas"
The act of controlling the car on the road where the blood or breath has an alcohol content in excess of 80 milligrams/100 milliliters or exceeding 0.4 milligrams/1 liter of breathing gas and does not comply with the testing request for the alcohol content of the person on duty to be sanctioned for administrative violations?,"At Points C, d, Clause 4, Article 8 of the Government's Decree 100/2019/ND-CP of December 30, 2019, stipulating the sanctioning of administrative violations in the field of road and railway traffic prescribed as follows: A fine of between VND 400,000 and VND 600,000 for the driver who commits one of the following violations: controlling the vehicle on the road where the blood or breath has alcohol excess of 80 milligrams/100 milligras Liters of breathing gas and failing to comply with the testing request for the alcohol content of the person on duty. Jade Performance belongs to: Vinh Phuc Provincial Law Dissemination Council Visitors:"
"Railway Transport Company X specializes in transporting goods, one time the functional force carrying out the cargo load weighing in the station area has discovered that each wagon over a total of 12 cars exceeds the permitted load of the wagon is 10%, so it is required to lower the load and be sanctioned for administrative violations. I want to ask, according to the provisions of the law, the penalty for the violation of the railway transport company X is how much?","The act of carrying goods exceeding the permitted load of the railway vehicle, exceeding the permitted load of the roads, causing unsafe during transportation and damaging the roadway system. For this act, the law provides for administrative sanctions stated at Point a, Clause 2, Article 65 of the Government's Decree No. 100/2019/ND-CP of December 30, 2019 on the regulation of sanctioning administrative violations in the field of road and railway transport (hereinafter referred to as Decree 100/2019/ND-CP) as follows: A fine of between VND 3,000,000 and 5,000,000 VND for the operation of the operation of the railway line to carry out the transportation of the railway line on the transport of the railway line on the shift of the railway line on the transport of the railway line to carry out the transport of the railway line on the shipping of the railway line to carry out the transport of the railway line to carry out the transportation of the railway line on the shipping of the railway line on the shipping of the railway line on the shipping of the railway line on the transport of the railway line on the operation of the railway line. Each wagon exceeds the allowable load of the wagon over 5% to 40%. Thus, with the act of carrying goods in excess of the permitted load of the aforementioned wagon, the railway transport company X may be sanctioned for administrative violations with a fine of between VND 3,000,000 and 5,000,000."
Can traffic people stop on the road to wear raincoats?,"Thank you to the reader for sending questions to the Ministry of Public Security and always interested in traffic safety.Currently, the law does not prohibit and has specified instructions on/parking, to ensure the most convenience and protect the safe traffic participants.Cases of stopping/parking, including stopping/parking to wear raincoats;Only sanctioned when not complying with the law on traffic safety, endangering themselves and other traffic participants ....
Specifically: Article 18 of the Law on Traffic Safety Order 2024 stipulates the stop and parking, according to which:
“3.The driver of the vehicle participating in road traffic when stopping the car and parking on the road must comply with the following regulations:
a) There is a signal notifying the driver of other road traffic to know when it comes to, the position of stopping the vehicle, parking;
b) Do not affect pedestrians and vehicles participating in road traffic.
4. Drivers of vehicles participating in road traffic must not stop, parking at the following locations:
a) On the left of one -way road;
b) On the curve or near the slope, the vision is obscured;
c) On the bridge, except for cases of transportation organizations;
d) Book overpass, except for places where car stops and parking are allowed;
d) Parallel to the same direction as another car is stopping, parking on the road;
e) The way the car is parked in the opposite direction of less than 20 meters on the narrow street,
Under 40 meters on the road there is a motor lane on one direction;
g) On the pedestrian road section;
h) The intersection of the intersection and within 05 meters from the edge of the intersection;
i) Picking and returning points;
k) In front of the gate and within 05 meters on both sides of the headquarters of the offices and organizations, there is a road arrangement for the car and in and out;
l) At the width of the road is only enough for a motor lane;
m) Within the safety of the railway;
n) obscure road signs, traffic lights;
o) On the road reserved for buses, sewers, tunnel mouths of telephone, high voltage electricity, reserved for fire -fighting vehicles;On the road, sidewalks contrary to the law.
5. On the road, drivers of vehicles participating in road traffic are only stopped, parked in a large roadside or land outside the road running;In case the roadside is narrow or without the curb, the car is only stopped, parked close to the right edge of the road in the direction of its go.
6. On the street, drivers of vehicles participating in road traffic are only stopped, parked close to the curb, sidewalk on the right side of their direction;The nearest wheel is not far from the curb, the sidewalk is more than 0.25 meters and does not obstruct, dangerous for people and vehicles participating in road traffic. ”
For violations, depending on the behavior and type of vehicle, it may be administratively sanctioned according to the provisions of Decree 168/2024/ND-CP dated December 26, 2024 stipulating sanctioning administrative violations of traffic order and safety in the field of road traffic;deducting points, restoring the driver's license point.
I wish you safe traffic!"
"I have a self -drive car rental to customers, after the customer pays the car, I checked but due to the late update system, the next few days I discovered that the vehicle violated the traffic by the car tenant.Shortly thereafter, I called the car rental guests, but the customer did not recognize the fault that he caused (I had a car rental and a photo card photo and a driver's license).

I want to ask the Ministry of Public Security, if the car tenant refuses to cooperate with the police to handle, will the car owner be fined?If the vehicle owner is not fined, there is any sanctions that have to handle the above behavior?","1. About identify the violator:

Pursuant to Clause 8, Article 47 of Decree No. 168/2024/ND-CP of December 26, 2024 of the Government stipulating sanctioning administrative violations of traffic order and safety in the field of road traffic;deducting points, restoring driving license points (Decree 168);specifically:

""8. For cases of administrative violations detected through the use of professional vehicles and technical equipment that the authorities have not stopped immediately the means of handling, the following:

a) Authorities send a notice requesting the owner of the vehicle and the relevant organization (if any) to the offices of agencies and units of the competent person to sanction administrative violations to resolve the case.The notice is made in writing or making notifications by electronic methods through the application of transportation on mobile devices for citizens (hereinafter referred to as the application of transportation on mobile devices) by the Ministry of Public Security in construction, management and operation when meeting the conditions of infrastructure, technical and information;at the same time, update information about the violating means on the website of the Traffic Police Department;

b) The vehicle owner is obliged to cooperate with the authorities to determine the person who has operated the vehicle committing the violation.

In case the vehicle owner is an individual, if he does not cooperate with the authorities, does not prove or fails to explain, he is not the one who drove the vehicle to commit violations, he was sanctioned for the detected violation;

In case the vehicle owner is an organization, if it is not cooperated with the authorities, it is not explained to determine the person who has driven the vehicle that commits violations, the sanctioning of administrative violations for the organization commits the violation detected, unless the vehicle is appropriated or illegally used "".
2. Regarding sanctions for handling the above violations

Pursuant to the provisions of Clause 11, Article 47 of Decree 168 stipulating the handling of cases where violators have not yet carried out the case of violations as prescribed, specifically:

""11. In case of an appointment period to resolve the case of violations stated in the minutes of administrative violations or in the notice of the person competent to sanction or the time limit for execution of the sanctioning decision but the vehicle owner, the violator who has not made the case of violations as prescribed or has not complied with the sanctioning decision, the sanctioned person to send the notice to the registry (for vehicles with the vehicle, the vehicle is required)(If the violator has been identified)

a) Register, vehicle registration agencies, driving licensing agencies before carrying out, vehicle registration, issuance, exchange and re -issuance of driving licenses shall look up violating vehicle data, violators sent by the Traffic Police Agency;

b) In case of searching data as prescribed at Point a of this Clause, if there is information on violations or violators, the violators have not yet resolved the registration and registration of violations, not yet granted, renewed or re -granted driving licenses for violators;

c) After the owner of the vehicle and the violator resolved the case of violations according to the regulations, the sanctioning competent person must immediately send a notice to the sword post office, the vehicle registration agency, the driving license agency in writing or in the form of connection and sharing of data when meeting the conditions of infrastructure, technical and information to carry out the registry, vehicle registration, and return of the driver."
"The Ministry of Public Security let me ask, in case the driver does not obey the traffic light signal to give way to the priority vehicle, is the ambulance sanctioned under Decree 168?","Article 11 of the Law on Handling of Administrative Violations also clearly stipulates that there is no sanction of violations in an urgent situation;
Clause 5, Article 27 of the Law on Road Traffic and Traffic Safety No. 36/2024 requires when there is a signal of a priority vehicle, people and vehicles participating in road traffic must slow down, close to the right side of the road or stop to give way, toll station must prioritize the priority vehicle through all situations, not to be obstructed.
Therefore, the people are assured, the failure to comply with the traffic light signals to give way to the ambulance and the priority vehicle in the case of ""urgent situation"" will not be sanctioned for administrative violations.In these cases, when making a sanctioning record, the signal lamp force will coordinate with the traffic police at the pin, extract the camera, the image of the driver's violation, show the evolution of violations and the light signal at that time.
For the cold penalty, the traffic police will let the violators review the full clip of the violation of the red light before making the record, ensuring the people ""mind, the mouth"", avoiding wrongdoing."
"Previously I resided in Hanoi, now I moved to Ho Chi Minh City.I want to ask the Ministry of Public Security, my case has to change the car registration when you move in?If I have to change, what procedures do I have to do?","Clause 1, Clause 2, Article 13 of Circular No. 24/2023/TT-BCA of July 1, 2023 of the Ministry of Public Security stipulating the grant, registration of registration, motor vehicle number plates, regulations:

“1.When transferring the ownership of vehicles or moving offices, residents from provinces or centrally run cities to other provinces or centrally run cities (hereinafter collectively referred to as the owner of the owner), the owner must carry out the recovery procedure at the agency that is managing that car record.2. Organizations and individuals who transfer vehicle ownership and owner (in case of moving the original owner) carry out procedures for registering their names and moving vehicles at the vehicle registration agency as prescribed in Article 4 of this Circular ”.

Procedures for recovery documents for vehicle registration certificates are specified in Clause 1, Article 14 of Circular No. 24/2023/TT-BCA, including: registration certificate, vehicle license plate;papers of the vehicle owner as prescribed in Article 10 of Circular No. 24/2023/TT-BCA;02 copies of machine number, frame number;Car registration certification;The owner of the car does not have to return the license plate, except for the case that the vehicle has registered as a 3 or 4 -digit plate, the 3 or 4 -digit plate must be returned;In case of loss of vehicle registration certificate or a license plate, the reason must be clearly stated in the registration certificate, license plate.Procedures for vehicle registration documents (Moving the owner) are specified in Clause 2, Article 14 of Circular 24/2023/TT-BCA, including: Car registration certificate;The papers of the vehicle owner specified in Article 10 of Circular No. 24/2023/TT-BCA;Vouchers of registration fee as prescribed in Clause 3, Article 11 of Circular No. 24/2023/TT-BCA;Certificate of registration, license plate.

-Clause 3, Article 20 of Circular No. 79/2024/TT-BCA dated November 15, 2024 stipulates the issuance and revocation of vehicle registration certificates, motor vehicles, special-use motorbikes (replacing Circular No. 24/2023/TT-BCA, effective from January 1, 2025) stipulating the case of changing the vehicle registration certificate when the owner changes its headquarters, residence to the new vehicle registration agency that has been registered by the vehicle registration agency.

Regarding the procedure for confirming the vehicle file: submitting the vehicle registration certificate and the application for confirmation of the vehicle application (according to the form of DKX13 issued together with Circular 79/2024/TT-BCA) to the vehicle registration agency for the vehicle record to be granted a vehicle file confirmation.

Procedures for vehicle registration documents (moving the owner), including: Car registration certificate and vehicle record confirmation.

Thus, in case of carrying out procedures for exchanging vehicle registration certificates at the new address before January 1, 2025, the provisions of Circular 24/2023/TT-BCA of the Ministry of Public Security;From January 1, 2025, the provisions of Circular No. 79/2024/TT-BCA of the Ministry of Public Security."
"When participating in traffic, I found that the phenomenon of traffic lights ""green suddenly turned red"" caused traffic participants to be unjustly punished.I would like to ask the Ministry of Public Security, in case the people drove through the road with the signal light ""green suddenly turned to red"", is it sanctioned?","1. The cause of the above situation is due to some old generation traffic signals, manual control should be delayed when adjusting the lamp cycle during the day.Accordingly, a traffic signal lamppost will transfer the cycle from the peak hour frame to a low point or vice versa.To overcome this situation, the Traffic Police Department (Traffic Police) - Ministry of Public Security has issued a document to direct the local police, coordinate with the authorities to review and repair signal lights, propose operators to operate and manage traffic lights soon upgrade old lights.The intersection with the phenomenon of ""dancing lights"", the traffic police will not punish, in addition, the lamp phenomenon is not much.""People are assured that they will not be unjustly punished by the traffic police in these cases. When making a sanctioning record, the signal lamp force will coordinate with the traffic police at the pin, extract the camera, the image of the car driver's violation, showing the evolution of violations and the light signal at that time.""For the cold penalty, the traffic police will allow the violator to review the whole clip of the violation of the red light before making a record, ensuring the people ""mind, the password"", avoiding wrongdoing.
2. In case the driver does not comply with the light signal to give way to the priority vehicle, ambulance ... will not be sanctioned due to the Law on Handling of Administrative violations, which does not sanction administrative violations in case of committing administrative violations in an urgent situation."
"Recently, in some places, people have sprayed paint and applied dirt on traffic signs to deal with functional forces in the process of handling violations against vehicles banned from circulating on roads.The Ministry of Public Security let me ask, the act of applying dirt or spraying paint to erase traffic signs to deal with the functional forces will be handled like?","Point b, Clause 2, Article 17 of Decree No. 144/2021/ND-CP of December 31, 2021 of the Government stipulating sanctioning administrative violations in the field of security, order and social safety;prevention and control of social evils;Fire prevention, fighting, rescue and rescue;Prevention and control of domestic violence stipulates: A fine of between VND 1,000,000 and VND 2,000,000 shall be imposed for acts of ""dismantling, destroying or doing anything else to damage the types of signs, instruction signs and signboards of agencies and organizations"".In addition, the person who commits violations is also applied for additional sanctions for confiscation of material evidences and means of administrative violations and measures to overcome the consequences forced to restore the original situation."
"I am the representative of Saigon - Hanoi Insurance Corporation - Thong Nhat Branch (BSH Thong Nhat).I would like to ask the Ministry of Public Security about the legal value of the driver's license information on VNEID application, specifically:

1. In case the driver loses a driver's license by PET material, when participating in traffic only use the driver's license information on VNEID, there is a vehicle operator that causes traffic accidents, according to the law, whether the driver of the driver has violated the driver without a driver's license?

2. In case the driver's license information has been updated on the VNEID application according to Point a, Clause 24, Article 4, Circular 05/2024/TT-BGTVT, when participating in traffic can use the driver's license information on VNEID application to replace the driver's license with PET material?

Sincerely thanks.","According to Point a, Clause 24, Article 4, Circular No. 05/2024/TT-BGTVT dated March 31, 2024 of the Ministry of Transport amended and supplemented a number of articles of circulars related to the field of road transport, road transport support services, vehicles and drivers, effective from June 1, 2024, ""driving license by PET material.The valid is a driving license issued by the competent authority, with the number of embryos, date of issue, expiry date on the driver's license that coincides with the number of embryos, date of issue, expiry date in the driver's license management system or has a driver's license information that has been authenticated on VNEID ”.

Based on the above provisions, the driver's license information has been authenticated on VNEID is valid, which can be used instead of a driving license with PET material.When participating in traffic.

In case the driver loses a driver's license with PET material."
"My husband is currently driving 46 seats for a company in Ho Chi Minh City, my husband's car is driving to pick up employees to the company (White Sea car), without other business purposes.The Ministry of Public Security asked me, for this type of vehicle, in addition to car registration, car registration, car insurance, which other papers need other documents when traveling on the road?","Decree No. 10/2020/ND-CP dated January 17, 2020 (amended and supplemented in Decree No. 47/2022/ND-CP of July 19, 2022) of the Government stipulating business and business conditions by car stipulating:
- Clause 2, Article 3 Regulating transportation business by car is the implementation of at least one of the main stages of transport activities (directly operating vehicles, driving or deciding freight rates) for transportation of passengers and goods on the road for profitability.
- Clause 6, Article 7 of specific provisions for passenger transport business units under contracts, driving students to transport students, students and officials to school and work;Accordingly, before performing the contract, the transport business unit must make a one -time notice of the minimum contents of the contract specified in Clause 2 (deducting point e, point g) Article 15 of this Decree, including: Information about the transport business unit signing the contract: Name, address, telephone, tax code, representative of contract signing;Driving information: Full name, phone number;Information about passengers or transport tenants (organizations or individuals): Name, address, phone number, tax code (if any);Vehicle information: vehicle control plate and capacity (load);Information on contract performance: Time to start and end the contract (date, time);The first point address, the final address and the pick -up points, return passengers (or arrange, unload goods) on the transportation journey;The distance of the transportation journey (km);The number of passengers (or the volume of goods shipped).
At the same time, it must be notified when there is a change in the itinerary, shipping time or stops, picking up passengers;Transporting the right subjects (students, students, officials and employees going to school, working) and not having to implement the contents specified at Points c, Point d, Clause 3, Points b, Point c, Clause 4 and Clause 5 of this Article.
Proposing you to study more specific contents in Decree No. 10/2020/ND-CP of January 17, 2020 (amended and supplemented in the Government's Decree No. 47/2022/ND-CP dated July 19, 2022) of the Government stipulating business and transport business conditions by car to better understand this issue."
"The Ministry of Public Security let me ask, the current sanctioning level for the driver of the vehicle that in the blood or breath has alcohol content is specified, in which document?","In Clause 6, Article 5 of the Law on Prevention and Control of alcohol and beer stipulates: Controlling a vehicle that in the blood or breath with alcohol content is a prohibited behavior.The driver of the vehicle whose blood or breath has alcohol content will be sanctioned in accordance with the Government's Decree No. 100/2019/ND-CP of December 30, 2019 (amended and supplemented in Decree No. 123/2021/ND-CP dated December 28, 2021 of the Government), specifically as follows:
- For drivers of cars and vehicles similar to cars:
+ At Point c, Clause 6, Article 5 stipulates: The driver of the car on the road whose blood or breath has alcohol content but has not exceeded 50 milligrams/100 milliliters of blood or not exceeding 0.25 milligrams/1 liter of breathing gas fined from VND 6,000,000 to VND 8,000,000;Deprivation of the right to use the GPLX from 10 months to 12 months.
+ At Point c, Clause 8, Article 5 stipulates: The driver of the car on the road whose blood or breath has alcohol content exceeds 50 milligrams to 80 milligrams/100 milliliters or exceeding 0.25 milligrams to 0.4 milligrams/1 liter of breathing gas shall be fined from VND 16,000,000 to VND 18,000,000;Deprivation of the right to use the GPLX from 16 months to 18 months.
+ At Point a, Clause 10, Article 5 stipulates: The driver of the vehicle on the road whose blood or breath has an alcohol content exceeds 80 milligrams/100 milliliters or exceeds 0.4 milligrams/1 liter of breathing gas, fined from VND 30,000,000 to VND 40,000,000;Deprivation of the right to use the GPLX from 22 months to 24 months.
- For motorcyclists, motorbikes (including electric motorbikes), similar vehicles and vehicles similar to motorbikes:
+ At Point c, Clause 6, Article 6 stipulates: The driver of the car on the road whose blood or breath has alcohol content but has not exceeded 50 milligrams/100 milliliters of blood or not exceeding 0.25 milligrams/1 liter of breathing gas fined from VND 2,000,000 to VND 3,000,000;Deprivation of the right to use the GPLX from 10 months to 12 months.
+ At Point c, Clause 7, Article 6 stipulates: The driver of the car on the road whose blood or breath has alcohol content exceeds 50 milligrams to 80 milligrams/100 milliliters or exceeding 0.25 milligrams to 0.4 milligrams/1 liter of breathing gas shall be fined from 4,000,000 VND to 5,000,000 VND;Deprivation of the right to use the GPLX from 16 months to 18 months.
+ At Point e, Clause 8, Article 6 stipulates: The driver of the vehicle on the road whose blood or breath has alcohol content in excess of 80 milligrams/100 milliliters or exceeding 0.4 milligrams/1 liter of breathing gas shall be fined from VND 6,000,000 to VND 8,000,000;Deprivation of the right to use the GPLX from 22 months to 24 months.
- For drivers of tractors, specialized motorbikes:
+ At Point c, Clause 6, Article 7, the driver of the vehicle on the road, in the blood or breath, has alcohol content but has not exceeded 50 milligrams/100 milliliters of blood or not exceeding 0.25 milligrams/1 liter of breathing gas fined from 3,000,000 VND to 5,000,000 VND;Deprivation of the right to use the GPLX from 10 months to 12 months.
+ At Point b, Clause 7, Article 7 of the stipulate: The driver of the vehicle on the road whose blood or breath has alcohol content exceeds 50 milligrams to 80 milligrams/100 milliliters or exceeding 0.25 milligrams to 0.4 milligrams/1 liter of breathing gas shall be fined from VND 6,000,000 to VND 8,000,000;Deprivation of the right to use the GPLX from 16 months to 18 months.
+ At Point a, Clause 9, Article 7, the driver of the vehicle on the road or in the blood or breath has an alcohol content in excess of 80 milligrams/100 milliliters or exceeding 0.4 milligrams/1 liter of breathing gas that is fined from VND 16,000,000 to VND 18,000,000;Deprivation of the right to use the GPLX from 22 months to 24 months.
- For drivers of bicycles, machine bicycles (including electric bicycles), other rudimentary drivers:
+ At Point q, Clause 1, Article 8 stipulates: The driver of the car on the road whose blood or breath has alcohol content but has not exceeded 50 milligrams/100 milliliters of blood or not exceeding 0.25 milligrams/1 liter of breathing gas fined from 80,000 VND to 100,000 VND.
+ At Point e, Clause 3, Article 8 stipulates: The driver of the car on the road whose blood or breath has alcohol content exceeds 50 milligrams to 80 milligrams/100 milliliters or exceeding 0.25 milligrams to 0.4 milligrams/1 liter of breathing gas shall be fined from VND 300,000 to VND 400,000.
+ At Point c, Clause 4, Article 8 stipulates: The driver of the vehicle on the road whose blood or breath has alcohol content is exceeding 80 milligrams/100 milliliters or exceeding 0.4 milligrams/1 liter of breathing gas fined from VND 400,000 to VND 600,000."
"In 2020, I transferred 01 car to another person and the buyer agreed to carry out the procedures to change the name of the owner of the car mentioned above.However, up to now, car buyers have not carried out the procedures to change the name of the owner.The Ministry of Public Security asked me:
- In case, so far has not completed the procedure to change the owner for the car I sold, is the license plate attached to this car is considered my identification license plate?
- According to the transfer agreement, whether the car buyer has not made procedures to change the name of the owner of the law violation?If violated, how will it be handled?How do I transfer the main name to the car buyer?","Article 39 of Circular No. 24/2023/TT-BCA dated July 1, 2023 of the Ministry of Public Security stipulating the issuance, registration of registration, motor vehicle number plates (effective from August 15, 2023) stipulating:
- For vehicles registered 5 -digit plate before this Circular takes effect without carrying out the recovery procedure, the license plate is determined as the identification license plate of the vehicle owner (Clause 1).
- For vehicles registered 3 or 4 numbers, they continue to be allowed to participate in traffic, unless the vehicle owner needs to grant to the identification number plate or when the vehicle owner performs the procedure of transferring the vehicle registration certificate, the license plate change, the vehicle registration certificate, the re -issuance of the license plate or the registration of the vehicle, the vehicle moves in accordance with the Circular, the receipt of the 3 or 4 -digit shall be reduced by the Regulation 4 or 4.
Clause 4, Article 6 of Circular No. 24/2023/TT-BCA stipulates: Within 30 days from the date of carrying out the vehicle ownership transfer papers, the vehicle owner must carry out the recovery procedure;In case of over-time, the vehicle owner does not carry out procedures for recovery or handover of vehicle registration certificates and license plates to organizations and individuals who receive the ownership of the vehicle to carry out the recovery procedure, then before settling the car registration agency for sanctioning decision for the car owner for the act of not carrying out the recovery procedure (the sanction level prescribed at Point c, Clause 7, Article 30 of Decree No. 100/2019/ND-CP dated December 30, 2019 (amended and supplemented in Decree No.123/2021/ND-CP dated December 28, 2021) of the Government stipulating sanctioning administrative violations in the field of road and railway transport."
"Currently, illegal racing shows signs of reappearing and the consequences of illegal racing behavior are a problem for people.The Ministry of Public Security asked me, how will the act of illegal racing and the person who cheered the illegal racing will be handled like?Which two acts mentioned above are specified in which document?","-In Article 34 of the Government's Decree No. 100/2019/ND-CP of December 30, 2019, stipulating sanctions for administrative violations in the field of road and rail transport (amended and supplemented in Decree No. 123/2021/ND-CP of December 28, 2021 of the Government) stipulating:
""1. A fine of between VND 1,000,000 and VND 2,000,000 for one of the following violations:
a) Gathering to encourage and incite the act of driving the vehicle over the prescribed speed, wriggling, hammock, chasing each other on the road or racing illegally;
b) Bicycle racing, engine racing, cyclo racing, racing racing, riding illegal racing on the road.
2. A fine of from VND 10,000,000 to L5,000,000 VND for motorcyclists, motorbikes and electric motorbikes.
3. A fine of between VND 20,000,000 and VND 25,000,000 for illegal car racers.
4. In addition to being fined, the operator is convenient to commit violations, the following forms of additional sanctions are applied:
a) Acting acts specified at Point b, Clause 1 of this Article, which is confiscated (except for pulling and riding animals);
b) Perform acts prescribed in Clauses 2 and 3 of this Article shall be deprived of the right to use the driver's license from 03 months to 05 months and confiscate vehicles "".
- In case of sufficient elements of crime, they are examined for penal liability as prescribed in Article 266 (illegal racing) or Article 318 (crime of causing public disorder) of the 2015 Penal Code (amended and supplemented in 2017)."
"I see that the current rules have been applied by a personal motorbike registration according to the temporary residence, but on the motorbike registration certificate, there is a ""due date"".I am currently temporarily residing, the Ministry of Public Security helped me, this ""due date"" is the expiry date, right?And in my case, do I have to continuously extend the car registration certificate every 2 years?Because temporary residence is usually only 2 years.If overdue on the vehicle registration certificate has not been resolved for extension of temporary residence, is the traffic on the road?
In addition, in case I do not temporarily reside, but return to the permanent residence, how will the registration of the registration certificate be done and how the vehicle is granted under the temporary residence is recovered to issue a new sea according to the permanent residence?","According to Circular No. 24/2023/TT-BCA dated July 1, 2023 of the Ministry of Public Security stipulating the granting, recovery of registration, motor vehicle license plates specified on the certificate of registration of motorbike and motorbikes with the registration term applicable to cases where the vehicle registration is limited (temporary residence, diplomacy, ...).
At the end of the temporary residence period, the registration certificate also expires the expiry date, citizens must extend the temporary residence and go to the vehicle registration agency to request the extension of the registration certificate.If the time limit is on the vehicle registration certificate but has not yet resolved temporary residence, the citizen's vehicle is not allowed to circulate on the road.
In the event that citizens who do not temporarily reside but return to the permanent residence, citizens still retain the license plate but must go to the vehicle registration agency where the temporary residence is carried out in procedures for revoking the registration certificate and to the car registration agency where the permanent residence is carried out in procedures for issuing other registration certificates as prescribed."
"I need to withdraw the record of recovery license plate to change the name but now I do not know where the old owner is and I only have a notarized purchase contract, can I withdraw the file recovery file?The Ministry of Public Security let me ask, my case wants to withdraw the license plate recovery records of the cars?","Point b, Clause 4, Article 6 of Circular No. 24/2023/TT-BCA dated July 1, 2023 of the Ministry of Public Security stipulating the granting, recovery of registration, motor vehicle number plates stipulating that the transfer recipient may stand out to carry out procedures for registration and license plates instead of the car owner.
Dossiers, procedures for recovery and registration of vehicle names are prescribed in Article 31 of Circular No. 24/2023/TT-BCA of July 1, 2023 of the Ministry of Public Security, regulating the grant, registration of registration and motor vehicle number plates.Proposing readers Tran Minh Dat to the vehicle registration agency at the residence for guidance and settlement as prescribed."
"Recently, many people are stimulating in people such as alcohol and beer participating in traffic by traffic police forces, controlling and measuring alcohol content, which has had non -cooperative actions, opposing despite danger to the life of the traffic police force.The Ministry of Public Security let me ask, how will the behavior of opposing, obstructing and dangerous for the traffic police force will be handled like?","Based on the nature and severity of the violation, the violator may be handled administrative violations in accordance with Article 21 of Decree No. 144/2021/ND-CP dated December 31, 2021 of the Government stipulating sanctioning administrative violations in the field of security, order and social safety (obstructing, fighting the inspection, examination and control of the person on duty.change and supplement in 2017) on crimes against officials on duty."
"I see some cases of people providing information and images of violations on social networks have been recognized, verified and handled by traffic police.So, the Ministry of Public Security said that the police force has the focal point to receive these information for people to provide directly?Please be instructed in detail?","Clause 1, Article 29 of Circular No. 32/2023/TT-BCA dated August 1, 2023 of the Ministry of Public Security defining the tasks, powers, forms, content and process of patrol, control and handling of administrative violations on road traffic police of the traffic police unit to receive and collect data (information, images), including::
- Instructing and guiding patrols and control of roads and railways under the Traffic Police Department, Ministry of Public Security;
- The Traffic Police Department of the Police of provinces and cities directly under the Central Government;
- Traffic police team, order of district police."
"Recently, when the traffic police force increased the handling of alcohol levels and temporarily seized many vehicles of the violator.After that, many of those who violated the alcohol content had left the car, because the value of the vehicle was not equal to the penalty.From the above reality, I would like to ask, how will you leave the car when the traffic police custody will affect the process of resolving administrative procedures later?Traffic violators do not pay a fine, how will their car leave?","- Regarding the responsibility of implementing the decision to sanction administrative violations of the violators, Article 74 of the Law on Handling of Administrative Violations (amended and supplemented by 2020) stipulates that the statute of limitations for enforcing the decision to sanction administrative violations is 01 year from the date of decision -making.In cases where individuals and organizations are sanctioned intentionally escaping and delaying, the above statute of limitations is counted from the time of termination of acts of evading and delaying.
Article 86 of the Law on Handling of Administrative Violations (amended and supplemented by 2020) also stipulates: Individuals and organizations are sanctioned for administrative violations that do not voluntarily comply with the sanctioning decision shall be enforced to enforce sanctioning decisions.
- Regarding the handling of vehicles with the expiry of the temporary detention period, the violators, the owner, the manager or the legal user did not come to receive without a good reason, in Article 126 of the Law on Handling of Administrative Violations (amended and supplemented by 2020) stipulates: In case of identifying violators, owners, managers or legal users of material evidences and vehicles, they must notify them.The first announcement must be made within 03 working days from the date of expiry of the temporary detention of material evidences and vehicles.The second announcement was made within 07 working days from the first announcement.The expiry of 01 month from the date of the second announcement if the violator, the owner, the manager or the legal user did not come to receive it, within 05 working days, the competent person must issue a decision to confiscate material evidences and means of administrative violations."
